;LOPE_AmorConVista(1626)cate;LOPE_AmorPleitoYDesafio(1621)cate;LOPE_AyVerdadesQueEnAmor(1625)cate;LOPE_BastardoMudarra(1612)cate;LOPE_BatallaDelHonor(1608)cate;LOPE_Benavides(1600)cate;LOPE_BizarriasDeBelisa(1634)cate;LOPE_BrasilRestituido(1625)cate;LOPE_BuenaGuarda(1610)cate;LOPE_BurgalesaDeLerma(1613)cate;LOPE_CaballeroDelSacramento(1610)cate;LOPE_CardenalDeBelen(1610)cate;LOPE_CarlosQuintoEnFrancia(1604)cate;LOPE_CastigoSinVenganza(1631)cate;LOPE_CoronaDeHungria(1623)cate;LOPE_CoronaMerecida(1603)cate;LOPE_CuerdoLoco(1602)cate;LOPE_DamaBoba(1613)cate;LOPE_DelMonteSale(1627)cate;LOPE_DesdenVengado(1617)cate;LOPE_DiscordiaEnLosCasados(1611)cate;LOPE_EstefaniaLaDesdichada(1604)cate;LOPE_FavorAgradecido(1593)cate;LOPE_GalanDeLaMembrilla(1615)cate;LOPE_HermosaEster(1610)cate;LOPE_LoQuePasaEnUnaTarde(1617)cate;LOPE_MarquesDeLasNavas(1624)cate;LOPE_MasPuedenCelos(1627)cate;LOPE_MayorVictoriaDeAlemania(1622)cate;LOPE_NinezDelPadreRojas(1625)cate;LOPE_PedroCarbonero(1603)cate;LOPE_PoderEnElDiscreto(1623)cate;LOPE_PrincipeDespenado(1602)cate;LOPE_PruebaDeLosAmigos(1604)cate;LOPE_QuienMasNoPuede(1616)cate;LOPE_SantiagoElVerde(1615)cate;LOPE_SembrarEnBuenaTierra(1616)cate;LOPE_SinSecretoNoHayAmor(1626)cate
rn;2,446851;2,087287;2,891584;1,800537;2,322627;1,977630;2,068671;1,400273;1,995320;1,813956;2,061790;1,200521;1,572458;2,213253;2,233419;1,979692;1,647187;2,203960;2,353408;2,817345;1,952318;1,832621;1,901408;1,879071;1,715803;2,176186;2,270961;1,817521;1,707351;2,041162;2,025630;2,580731;1,900883;2,085905;2,041471;1,917841;2,090735;2,380021
vmip1s0;1,651290;2,048027;1,951640;1,843262;1,971814;2,004647;1,535509;1,502732;1,826336;1,813956;1,782656;1,406325;1,724855;2,050514;1,774703;1,654001;2,083207;1,905118;1,725392;2,451784;1,714536;1,825833;2,124413;2,109632;1,559202;1,849431;2,210517;1,584878;1,453365;1,914119;1,536448;2,779248;1,802135;2,104419;1,765423;2,190127;2,247882;2,040949
aq0ms00;1,243482;1,334816;1,212600;1,849365;1,385109;2,409899;1,286699;2,245560;1,579358;1,502182;1,681152;2,750909;2,050429;1,627392;1,646864;1,570982;2,004481;1,550243;1,705560;1,581999;1,651962;1,554334;2,235915;1,734970;1,743038;1,699124;1,606079;1,650309;2,321151;1,549928;1,805154;1,422710;1,900883;2,166132;1,662708;1,675151;1,865264;1,760563
vmp00sm;1,758256;1,557286;1,427854;1,666260;1,360915;1,939807;1,194284;1,331967;1,345379;1,349130;1,617712;1,612129;1,420061;1,490691;1,346067;1,673159;1,707745;1,232723;1,480796;1,430732;1,676991;1,832621;1,678404;1,521702;1,191530;1,444256;1,545635;1,679389;1,432200;1,126450;1,391760;1,574907;1,654015;1,511972;1,380240;1,550846;1,516808;1,780125
aq000;1,283594;0,948767;1,506781;1,525879;1,754068;1,048252;1,890950;1,588115;2,131808;1,405816;1,357610;2,051177;1,191466;1,334462;1,278388;1,487962;1,217223;1,768148;1,599788;1,172318;1,445466;1,255685;1,555164;0,910715;1,504732;1,849431;1,260686;1,388586;1,523917;1,981875;1,185063;1,191106;2,018145;1,314490;1,592091;1,515331;1,537305;1,128065
pp1cs00;1,490841;1,622718;1,765086;1,556396;1,330672;1,334630;1,400441;0,870902;1,397374;1,320787;1,065787;0,857515;1,163757;1,562297;1,143029;1,168657;1,120329;1,575146;1,573346;1,222740;1,082536;1,248897;1,203052;1,394893;0,837475;1,326624;1,571540;1,468557;1,192324;1,050224;1,102384;1,832980;1,123249;1,092323;1,110612;1,610039;1,250342;1,414971
vsip3s0;1,203369;1,360989;1,262826;0,939941;1,463739;1,518344;1,052108;0,794057;1,247888;1,111048;1,179978;0,905536;0,990579;1,158703;1,030230;1,615684;1,265669;1,525339;0,965162;1,487457;1,019961;1,337134;1,543427;1,291141;1,055355;1,208992;1,165702;1,068702;0,832510;1,092572;1,171283;1,323452;1,302228;1,740311;1,438018;1,450219;1,373326;1,095462
aq0cs00;1,076347;1,518027;1,004520;1,293945;1,469788;1,048252;1,130305;1,536885;1,026908;0,799274;1,218042;1,406325;1,440842;1,158703;0,992630;1,155885;1,326228;1,033495;1,176704;1,109290;1,007446;1,371072;1,244131;1,008704;1,538776;1,548817;1,269320;1,228644;1,460420;1,549928;1,219512;1,052144;1,400975;1,030610;1,161970;1,000355;1,072697;1,049817
vmsp3s0;0,969381;1,001112;1,033221;0,927734;1,227847;1,177933;1,329352;0,879440;1,065904;0,651890;0,799340;1,083899;0,928235;1,113136;0,789592;1,104796;1,217223;0,933881;1,097376;0,995840;0,907327;1,004548;0,997653;1,060580;0,912371;0,954124;1,131163;1,155943;0,917172;1,160329;1,150613;0,899947;1,092390;0,944211;1,104192;1,083225;0,915551;1,134585
di0ms0;0,768819;0,660865;0,961469;0,830078;0,852840;1,010428;0,746428;0,887978;0,948915;0,923984;0,748588;0,720313;0,962871;0,761620;0,834712;1,009004;0,817538;0,940107;0,846169;1,008446;0,832238;0,895948;0,874413;1,031760;0,857902;0,869167;1,018910;0,712468;0,733738;0,838486;0,943916;0,906564;0,796149;1,135522;0,879502;0,970759;1,038535;1,186750
