;LOPE_AmorConVista(1626);LOPE_AmorPleitoYDesafio(1621);LOPE_AyVerdadesQueEnAmor(1625);LOPE_BastardoMudarra(1612);LOPE_BatallaDelHonor(1608);LOPE_Benavides(1600);LOPE_BizarriasDeBelisa(1634);LOPE_BrasilRestituido(1625);LOPE_BuenaGuarda(1610);LOPE_BurgalesaDeLerma(1613);LOPE_CaballeroDelSacramento(1610);LOPE_CardenalDeBelen(1610);LOPE_CarlosQuintoEnFrancia(1604);LOPE_CastigoSinVenganza(1631);LOPE_CoronaDeHungria(1623);LOPE_CoronaMerecida(1603);LOPE_CuerdoLoco(1602);LOPE_DamaBoba(1613);LOPE_DelMonteSale(1627);LOPE_DesdenVengado(1617);LOPE_DiscordiaEnLosCasados(1611);LOPE_EstefaniaLaDesdichada(1604);LOPE_FavorAgradecido(1593);LOPE_GalanDeLaMembrilla(1615);LOPE_HermosaEster(1610);LOPE_LoQuePasaEnUnaTarde(1617);LOPE_MarquesDeLasNavas(1624);LOPE_MasPuedenCelos(1627);LOPE_MayorVictoriaDeAlemania(1622);LOPE_NinezDelPadreRojas(1625);LOPE_PedroCarbonero(1603);LOPE_PoderEnElDiscreto(1623);LOPE_PrincipeDespenado(1602);LOPE_PruebaDeLosAmigos(1604);LOPE_QuienMasNoPuede(1616);LOPE_SantiagoElVerde(1615);LOPE_SembrarEnBuenaTierra(1616);LOPE_SinSecretoNoHayAmor(1626)
indio;0,013382402;0;0;0;0,006053635;0,016212711;0;0,094017094;0,006503219;0;0;0;0,020814542;0;0;0,019173004;0,006058403;0,024917461;0;0;0;0,006791633;0,011741913;0;0,04769692;0,006541078;0,017280111;0,014549687;0;0;0,006894174;0,013243279;0,006178179;0,012347203;0;0;0,11619959;0
pretensión;0,006691201;0;0,014357502;0;0,030268176;0;0,014226775;0;0,026012876;0,034040622;0;0,013737207;0,013876362;0;0,030109146;0,012782003;0,024233612;0,01245873;0,006614632;0,012614317;0,025046963;0,006791633;0,029354782;0,02306672;0;0;0,008640055;0,007274844;0;0,008482484;0;0,013243279;0;0,006173602;0;0,011844131;0,02734108;0,013051423
tirar;0;0;0;0,085527522;0,006053635;0,010808474;0,014226775;0,042735043;0;0,017020311;0,012694383;0,006868604;0,006938181;0,00651848;0;0;0;0;0;0,025228635;0,025046963;0,006791633;0,011741913;0,00576668;0,013627691;0,006541078;0,008640055;0;0;0;0,068941744;0,013243279;0;0;0;0,005922066;0,01367054;0,026102845
villa;0,013382402;0;0;0,012218217;0;0,037829658;0,014226775;0;0,006503219;0,034040622;0;0,006868604;0;0;0,022581859;0,012782003;0,018175209;0;0,006614632;0;0;0;0;0,086500202;0;0,039246468;0,017280111;0,007274844;0;0,008482484;0,013788349;0,00662164;0,012356357;0,018520805;0,025693731;0;0;0
aumentar;0;0,013097577;0,021536253;0,024436435;0,030268176;0;0,007113387;0,008547009;0,019509657;0,017020311;0,006347191;0,006868604;0,013876362;0,01303696;0,007527286;0;0,018175209;0,006229365;0,039687789;0,018921476;0,025046963;0,020374898;0,005870956;0,01153336;0,013627691;0,013082156;0;0;0,014129283;0;0,006894174;0,00662164;0,012356357;0;0,019270298;0,005922066;0;0
corto;0;0,006548788;0;0,012218217;0;0,016212711;0,007113387;0;0,006503219;0,005673437;0,025388765;0;0;0,00651848;0,022581859;0,019173004;0,006058403;0,018688096;0,013229263;0;0,025046963;0,013583265;0,011741913;0,01730004;0,006813846;0,019623234;0,008640055;0;0,028258566;0,033929935;0,013788349;0,013243279;0;0,012347203;0;0,041454459;0,02050581;0
cristo;0;0;0;0,006109109;0;0;0;0,068376068;0,026012876;0;0;0,219795316;0,020814542;0;0;0;0,006058403;0;0;0;0;0;0;0,00576668;0;0;0;0,007274844;0,014129283;0,076342353;0,013788349;0;0,006178179;0;0;0;0;0,006525711
juzgar;0,013382402;0,026195154;0,014357502;0,018327326;0;0,005404237;0,02845355;0,008547009;0,013006438;0,005673437;0,012694383;0,006868604;0;0,02607392;0,015054573;0,006391001;0,012116806;0,018688096;0;0;0,006261741;0,013583265;0,052838607;0;0;0;0,025920166;0;0,014129283;0,016964967;0,006894174;0,00662164;0;0,03704161;0,006423433;0,005922066;0;0,013051423
silencio;0,006691201;0,013097577;0;0,024436435;0,01210727;0,005404237;0;0,042735043;0;0,005673437;0,006347191;0,020605811;0;0,01303696;0,015054573;0,006391001;0;0,031146826;0,033073158;0,037842952;0,006261741;0,013583265;0;0,01153336;0;0,006541078;0,008640055;0,014549687;0,007064641;0,016964967;0;0,019864919;0;0,006173602;0;0,011844131;0,01367054;0,032628557
treinta;0;0,006548788;0,007178751;0;0;0,005404237;0,014226775;0,034188034;0,013006438;0,005673437;0,012694383;0,020605811;0,034690904;0;0;0;0,006058403;0,006229365;0;0;0,012523482;0;0,017612869;0,01730004;0,006813846;0,006541078;0,017280111;0;0;0;0;0,00662164;0;0,049388813;0,012846865;0,035532394;0,08202324;0,006525711
turco;0,040147206;0;0;0;0;0;0;0,008547009;0;0;0;0;0,145701797;0,00651848;0;0;0,139343269;0;0,006614632;0,006307159;0,012523482;0;0,011741913;0;0;0,006541078;0;0;0,007064641;0;0;0,019864919;0;0;0;0,005922066;0,00683527;0,006525711
ventana;0,013382402;0,006548788;0,035893754;0,012218217;0,01210727;0,005404237;0,056907099;0;0;0,017020311;0;0;0,013876362;0,00651848;0;0;0,006058403;0;0,019843895;0,012614317;0,012523482;0,006791633;0,011741913;0,01153336;0,013627691;0;0,060480387;0,007274844;0,007064641;0;0,041365047;0,013243279;0;0,006173602;0,006423433;0,017766197;0,00683527;0,006525711
bizarro;0;0,006548788;0,021536253;0,012218217;0;0;0,02845355;0,017094017;0;0,011346874;0;0;0,006938181;0,01303696;0;0,006391001;0;0;0;0;0;0,020374898;0,005870956;0,02306672;0,006813846;0,006541078;0,043200276;0,036374218;0,035323207;0;0;0;0,024712715;0,012347203;0,051387461;0,023688262;0,02734108;0
boda;0,033456005;0,013097577;0,007178751;0,018327326;0,006053635;0;0,014226775;0;0,013006438;0,005673437;0,025388765;0;0;0,00651848;0;0,019173004;0,012116806;0,024917461;0;0,025228635;0,025046963;0,013583265;0;0;0;0,013082156;0,017280111;0,029099374;0;0,025447451;0;0,013243279;0,012356357;0,012347203;0,006423433;0,023688262;0,00683527;0,006525711
convenir;0,013382402;0,026195154;0,014357502;0,018327326;0,036321811;0,032425422;0;0,017094017;0;0,005673437;0,006347191;0,034343018;0;0,00651848;0,007527286;0,019173004;0,018175209;0,018688096;0,019843895;0;0,018785222;0;0,005870956;0;0,020441537;0,006541078;0;0,021824531;0;0,008482484;0;0,00662164;0;0,006173602;0;0;0,02050581;0,013051423
excusar;0,073603212;0,052390308;0;0,018327326;0;0,010808474;0,007113387;0,017094017;0;0,011346874;0;0;0,006938181;0;0,030109146;0;0,012116806;0;0,006614632;0,018921476;0,012523482;0;0,017612869;0;0;0,019623234;0,025920166;0,036374218;0,028258566;0;0;0,019864919;0;0;0;0;0;0,013051423
fácil;0,020073603;0,026195154;0,021536253;0;0,018160906;0,010808474;0,007113387;0,017094017;0,019509657;0,017020311;0,006347191;0,006868604;0;0,00651848;0;0;0,012116806;0,037376191;0,039687789;0,006307159;0,006261741;0;0,029354782;0;0;0,013082156;0;0;0,007064641;0,008482484;0;0,026486558;0;0,006173602;0,012846865;0,005922066;0,00683527;0,026102845
juez;0,013382402;0,026195154;0,021536253;0,006109109;0;0,021616948;0;0,008547009;0,026012876;0,005673437;0,006347191;0,020605811;0,013876362;0,00651848;0,060218291;0,006391001;0,012116806;0,01245873;0,013229263;0;0;0,033958164;0,017612869;0,00576668;0,006813846;0;0,008640055;0,007274844;0;0,025447451;0,006894174;0;0,006178179;0,012347203;0;0,011844131;0,01367054;0
parar;0;0,013097577;0,007178751;0,006109109;0,01210727;0,010808474;0,014226775;0;0,013006438;0,022693748;0,012694383;0,034343018;0,027752723;0,00651848;0,007527286;0,025564006;0;0,006229365;0,006614632;0;0,025046963;0,013583265;0,017612869;0;0,006813846;0,006541078;0,008640055;0;0;0;0,020682523;0,00662164;0;0,018520805;0,012846865;0,023688262;0,01367054;0,019577134
pastor;0;0;0;0;0,006053635;0,005404237;0,007113387;0,008547009;0,091045067;0;0,012694383;0,07555464;0;0,01955544;0,015054573;0;0,012116806;0,006229365;0;0;0,025046963;0;0,005870956;0,00576668;0,020441537;0;0;0,007274844;0;0,008482484;0;0;0,067959965;0;0,025693731;0;0;0
ramiro;0;0;0;0;0;0,016212711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,040749796;0;0,167233724;0;0;0;0;0;0;0;0;0;0;0,173432682;0;0;0
ánimo;0,013382402;0,013097577;0,007178751;0,018327326;0,006053635;0,010808474;0;0,034188034;0;0;0,006347191;0;0;0,01303696;0,015054573;0,006391001;0,006058403;0;0,006614632;0,012614317;0,006261741;0;0,017612869;0,028833401;0;0,013082156;0,025920166;0,021824531;0,028258566;0,008482484;0,013788349;0,026486558;0,018534536;0;0,025693731;0,005922066;0,01367054;0,006525711
árbol;0,013382402;0;0,007178751;0,006109109;0;0,005404237;0,021340162;0,034188034;0,039019315;0,022693748;0,019041574;0,006868604;0;0,01955544;0,015054573;0;0,012116806;0;0,013229263;0;0;0,027166531;0,011741913;0,01730004;0,040883074;0,019623234;0;0,014549687;0,014129283;0;0,006894174;0;0,012356357;0;0;0,011844131;0;0,013051423
arrojar;0,006691201;0,006548788;0,035893754;0,012218217;0,01210727;0;0,021340162;0,008547009;0,013006438;0,011346874;0,019041574;0;0,013876362;0,00651848;0;0,031955007;0,012116806;0,006229365;0;0;0,006261741;0,020374898;0,017612869;0,01730004;0,006813846;0,013082156;0,008640055;0,007274844;0,014129283;0;0,034470872;0,00662164;0;0,012347203;0;0,005922066;0,02050581;0,013051423
mentira;0,013382402;0,032743942;0,035893754;0,006109109;0,006053635;0;0,021340162;0;0;0,011346874;0,006347191;0,020605811;0;0,00651848;0,007527286;0,025564006;0,012116806;0,01245873;0,013229263;0,025228635;0,018785222;0,027166531;0;0,01730004;0;0,013082156;0,008640055;0,007274844;0;0,008482484;0,006894174;0,00662164;0,012356357;0,018520805;0;0,011844131;0;0,006525711
meter;0,006691201;0;0;0;0,01210727;0,021616948;0,007113387;0;0,006503219;0,017020311;0;0,006868604;0,034690904;0,01303696;0;0,012782003;0,030292015;0,024917461;0,006614632;0,025228635;0;0,013583265;0,023483826;0,01153336;0;0,013082156;0,008640055;0,007274844;0,007064641;0,008482484;0,055153395;0;0,006178179;0,006173602;0;0;0,00683527;0,019577134
prueba;0,013382402;0,045841519;0,021536253;0;0,01210727;0,005404237;0,021340162;0;0;0,005673437;0,025388765;0;0,006938181;0,00651848;0;0,012782003;0,012116806;0;0,013229263;0,025228635;0,018785222;0,013583265;0;0,00576668;0;0,006541078;0,008640055;0;0,007064641;0,008482484;0,006894174;0,013243279;0;0,03704161;0,012846865;0,005922066;0,02050581;0,026102845
río;0;0,006548788;0,007178751;0,012218217;0;0,027021185;0,056907099;0,008547009;0,013006438;0,028367185;0;0,013737207;0;0,039110879;0,007527286;0,006391001;0,006058403;0,006229365;0,019843895;0;0;0,006791633;0;0;0,027255383;0,019623234;0;0;0,028258566;0;0,006894174;0;0;0;0,019270298;0,029610328;0,02050581;0
sagrado;0;0,006548788;0,021536253;0,012218217;0;0;0;0,025641026;0,013006438;0;0;0,137372072;0,013876362;0,00651848;0,007527286;0;0;0,006229365;0,006614632;0,012614317;0;0;0;0;0,020441537;0,013082156;0;0,036374218;0,021193924;0,042412418;0;0,00662164;0;0,006173602;0,006423433;0;0,01367054;0,013051423
serafina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,423784929;0;0;0;0;0;0
silla;0,073603212;0,006548788;0,035893754;0,006109109;0,006053635;0,005404237;0,014226775;0,008547009;0;0,022693748;0,006347191;0,020605811;0,013876362;0,01955544;0;0,012782003;0,006058403;0,006229365;0,006614632;0,012614317;0;0;0,005870956;0,00576668;0;0;0,043200276;0,007274844;0,007064641;0;0;0,019864919;0,006178179;0,018520805;0;0,023688262;0;0,006525711
ala;0,006691201;0;0,007178751;0,036654652;0;0,021616948;0,042680324;0,017094017;0;0,022693748;0;0,006868604;0;0,01955544;0;0;0,018175209;0,006229365;0,006614632;0;0,006261741;0,013583265;0,005870956;0,00576668;0;0;0,034560221;0,021824531;0,014129283;0,008482484;0,006894174;0,019864919;0,012356357;0,006173602;0,019270298;0,005922066;0,00683527;0,019577134
álvaro;0;0,137524558;0;0,036654652;0;0;0;0;0;0;0;0;0,027752723;0;0;0,191730044;0;0;0;0;0;0;0;0,00576668;0;0;0;0;0;0;0;0;0;0,006173602;0;0;0;0
escudo;0;0;0;0;0,01210727;0;0,007113387;0,05982906;0,006503219;0;0;0;0;0;0,022581859;0,006391001;0,006058403;0;0;0,031535793;0,006261741;0,006791633;0,005870956;0,01730004;0;0;0;0;0,035323207;0,008482484;0,027576698;0,00662164;0,018534536;0,067909618;0;0,011844131;0,05468216;0,006525711
exceder;0,020073603;0,006548788;0;0;0;0;0;0,008547009;0,026012876;0,005673437;0,031735957;0,006868604;0,006938181;0,00651848;0;0;0;0;0,019843895;0;0;0,006791633;0,029354782;0,02306672;0,061324612;0,013082156;0,008640055;0,007274844;0,007064641;0,008482484;0,013788349;0,026486558;0;0;0,032117163;0,011844131;0,00683527;0,019577134
feliciano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,092604842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,296332881;0;0,005922066;0;0
hecho;0;0;0;0,012218217;0,006053635;0,021616948;0;0,034188034;0;0,017020311;0,038083148;0;0,006938181;0,01303696;0;0,019173004;0,018175209;0;0,013229263;0,006307159;0,006261741;0,033958164;0,017612869;0,01730004;0,027255383;0;0;0,007274844;0,028258566;0;0,020682523;0;0,024712715;0,006173602;0,006423433;0,005922066;0;0
italia;0,013382402;0;0,014357502;0;0,024214541;0;0,007113387;0,034188034;0,026012876;0;0,012694383;0,027474414;0,034690904;0,078221759;0;0;0;0,006229365;0;0,031535793;0;0;0,023483826;0;0;0,013082156;0;0,007274844;0,014129283;0;0;0,00662164;0;0;0,006423433;0,011844131;0;0,026102845
reja;0;0,006548788;0,035893754;0;0,01210727;0;0,02845355;0;0,019509657;0,005673437;0,006347191;0;0;0;0;0;0;0,006229365;0,039687789;0,006307159;0;0;0,023483826;0;0,006813846;0,013082156;0,008640055;0,021824531;0;0;0,027576698;0;0;0;0,006423433;0,005922066;0,00683527;0,130514226
apartar;0;0;0;0,024436435;0,024214541;0,010808474;0,014226775;0,017094017;0,013006438;0,011346874;0,012694383;0,020605811;0,020814542;0,00651848;0;0,006391001;0,024233612;0;0;0,012614317;0,018785222;0;0,005870956;0,00576668;0,013627691;0,013082156;0,043200276;0;0;0,008482484;0,006894174;0,013243279;0,006178179;0,012347203;0,012846865;0;0,01367054;0,019577134
casado;0,013382402;0,006548788;0,007178751;0;0,01210727;0,005404237;0,007113387;0;0,019509657;0;0,006347191;0;0;0,02607392;0;0,025564006;0,006058403;0,037376191;0,006614632;0,018921476;0,068879148;0,006791633;0;0;0;0,019623234;0;0,014549687;0,007064641;0;0;0,039729837;0,006178179;0;0,006423433;0,029610328;0;0
confianza;0,013382402;0,006548788;0,014357502;0;0;0,005404237;0;0,017094017;0,019509657;0;0,006347191;0;0;0,02607392;0,037636432;0;0,018175209;0,01245873;0,006614632;0,012614317;0,018785222;0,033958164;0,005870956;0,01153336;0,013627691;0,013082156;0,008640055;0,043649062;0,014129283;0,016964967;0,006894174;0,019864919;0;0,006173602;0,006423433;0,005922066;0;0
cortesano;0;0,006548788;0;0;0;0,010808474;0;0,017094017;0,006503219;0,068081244;0,006347191;0;0;0,01303696;0;0,006391001;0,006058403;0,006229365;0,039687789;0;0,050093926;0;0,005870956;0,01730004;0,006813846;0,006541078;0,017280111;0,007274844;0,007064641;0;0,013788349;0;0,006178179;0,03704161;0,006423433;0,011844131;0,00683527;0,006525711
desengañar;0,020073603;0,013097577;0,021536253;0;0,01210727;0,005404237;0,021340162;0,025641026;0,006503219;0,005673437;0,006347191;0;0;0;0;0,006391001;0;0;0,026458526;0,037842952;0,018785222;0;0,011741913;0;0;0,019623234;0,017280111;0,072748436;0,014129283;0,016964967;0;0;0;0;0,006423433;0;0,00683527;0,032628557
ejército;0;0,006548788;0,007178751;0,030545543;0,006053635;0;0,007113387;0;0;0;0,006347191;0,027474414;0,020814542;0,00651848;0,015054573;0;0,036350418;0;0;0;0,018785222;0;0,017612869;0,01730004;0,013627691;0,006541078;0;0;0,077711056;0,016964967;0,013788349;0;0,024712715;0;0,019270298;0;0,00683527;0,006525711
gentil;0,013382402;0;0,007178751;0,012218217;0,006053635;0,005404237;0,021340162;0,042735043;0;0,017020311;0,006347191;0,006868604;0;0,01303696;0,022581859;0;0;0,024917461;0,013229263;0,012614317;0,006261741;0,006791633;0,017612869;0;0,006813846;0;0,008640055;0,007274844;0,014129283;0;0;0,019864919;0,018534536;0,024694407;0;0,041454459;0,01367054;0
hierba;0;0,006548788;0;0;0;0,005404237;0,007113387;0,008547009;0,006503219;0,011346874;0;0;0;0,00651848;0,007527286;0;0,030292015;0;0,019843895;0;0,006261741;0;0,011741913;0,02306672;0,040883074;0,137362637;0;0,021824531;0,014129283;0;0;0,013243279;0;0;0,006423433;0,011844131;0;0,006525711
imitar;0,006691201;0,006548788;0,007178751;0,006109109;0,018160906;0,005404237;0,014226775;0,017094017;0,006503219;0,017020311;0;0,034343018;0,006938181;0;0,007527286;0,019173004;0;0;0,013229263;0;0,037570445;0,006791633;0;0,01730004;0,040883074;0,013082156;0,008640055;0,014549687;0,021193924;0,008482484;0,006894174;0;0,006178179;0,024694407;0,006423433;0,005922066;0;0,006525711
inclinar;0,020073603;0,013097577;0,007178751;0,018327326;0;0;0,007113387;0,008547009;0,006503219;0;0,012694383;0,013737207;0,013876362;0,032592399;0,015054573;0,006391001;0;0,01245873;0;0,006307159;0,006261741;0;0,029354782;0;0,020441537;0,006541078;0;0,007274844;0,007064641;0,067859869;0,006894174;0,019864919;0;0,024694407;0,006423433;0,005922066;0,02050581;0
recelo;0,006691201;0,013097577;0,021536253;0;0,01210727;0,005404237;0,007113387;0,008547009;0,006503219;0,017020311;0,012694383;0,013737207;0;0,00651848;0,022581859;0;0,024233612;0,006229365;0,013229263;0,018921476;0,006261741;0;0;0,00576668;0,006813846;0,045787546;0,008640055;0,014549687;0,007064641;0;0;0,019864919;0,006178179;0,012347203;0,006423433;0,011844131;0,00683527;0,032628557
retirar;0;0,006548788;0,014357502;0,006109109;0,018160906;0,010808474;0,014226775;0,076923077;0,006503219;0;0,006347191;0;0,013876362;0,01303696;0,007527286;0,025564006;0,012116806;0,01245873;0,019843895;0;0,006261741;0,006791633;0;0;0,006813846;0,006541078;0;0,007274844;0,021193924;0,008482484;0,013788349;0,019864919;0,006178179;0,006173602;0,006423433;0,005922066;0;0,039154268
acero;0,013382402;0,006548788;0;0,048872869;0;0,032425422;0,007113387;0,017094017;0;0,005673437;0,006347191;0;0;0;0;0;0,012116806;0;0;0,018921476;0;0,013583265;0,035225738;0,01730004;0,006813846;0,013082156;0,025920166;0;0,028258566;0;0,020682523;0;0,006178179;0,006173602;0,012846865;0;0,01367054;0,026102845
afrentar;0,006691201;0,013097577;0;0,012218217;0,01210727;0,145914397;0;0;0;0;0;0,013737207;0;0;0,007527286;0;0,012116806;0,018688096;0,006614632;0,006307159;0,012523482;0,013583265;0,005870956;0,00576668;0;0;0,008640055;0;0;0,016964967;0,013788349;0,00662164;0;0,012347203;0,006423433;0;0,01367054;0
antonio;0;0;0;0;0;0,005404237;0;0,017094017;0;0,005673437;0;0,020605811;0;0;0;0,006391001;0,266569732;0;0;0,006307159;0;0;0;0;0;0;0,043200276;0;0;0;0;0;0;0;0;0;0,02050581;0
brío;0,013382402;0,019646365;0,028715004;0,042763761;0;0,021616948;0,014226775;0,025641026;0;0,011346874;0;0;0,020814542;0,00651848;0,007527286;0,006391001;0,006058403;0;0,013229263;0;0,006261741;0,013583265;0;0,01730004;0,013627691;0,006541078;0,034560221;0,007274844;0,007064641;0,008482484;0,006894174;0,019864919;0;0;0;0,011844131;0,00683527;0,013051423
desnudo;0,033456005;0;0,014357502;0,006109109;0,006053635;0,037829658;0;0,017094017;0,013006438;0,005673437;0,006347191;0,020605811;0;0,01303696;0,007527286;0,025564006;0,018175209;0,006229365;0;0;0;0;0,017612869;0;0;0;0;0,014549687;0,063581773;0;0,006894174;0;0,012356357;0,012347203;0,006423433;0,011844131;0;0,019577134
elvira;0;0;0;0;0;0,005404237;0;0;0,006503219;0;0;0;0;0;0;0,063910015;0;0;0;0;0;0;0;0,00576668;0;0;0;0;0;0;0,034470872;0;0,030890893;0;0,244090442;0;0;0
jugar;0;0,006548788;0,007178751;0,018327326;0,018160906;0,005404237;0,007113387;0,05982906;0,013006438;0,005673437;0;0;0,027752723;0,00651848;0,007527286;0;0;0,006229365;0,006614632;0,018921476;0,006261741;0,006791633;0,005870956;0,01730004;0;0,03270539;0,008640055;0;0;0;0,006894174;0;0;0,061736017;0;0,011844131;0,02734108;0,006525711
limpio;0;0,013097577;0;0,012218217;0,006053635;0,005404237;0,007113387;0,008547009;0,006503219;0,005673437;0;0,013737207;0,006938181;0;0,007527286;0,012782003;0,006058403;0,037376191;0;0;0,006261741;0,006791633;0;0,02306672;0;0,019623234;0,008640055;0,007274844;0,007064641;0,084824837;0,013788349;0;0,006178179;0,024694407;0;0,029610328;0,01367054;0,013051423
mortal;0;0,006548788;0;0,024436435;0,048429082;0,005404237;0;0,008547009;0,019509657;0;0;0,020605811;0,006938181;0,00651848;0,015054573;0,006391001;0,012116806;0,01245873;0;0,006307159;0,012523482;0;0,011741913;0,00576668;0,006813846;0,03270539;0,025920166;0;0;0,042412418;0,006894174;0;0;0,018520805;0,006423433;0,005922066;0,02050581;0,013051423
proseguir;0;0;0;0,006109109;0;0,005404237;0,02845355;0,008547009;0;0,017020311;0,006347191;0,006868604;0,006938181;0,01303696;0,007527286;0,031955007;0,024233612;0,006229365;0,019843895;0,006307159;0,006261741;0,006791633;0,005870956;0,01153336;0,006813846;0,006541078;0,017280111;0,014549687;0,035323207;0,016964967;0,006894174;0,00662164;0,024712715;0,006173602;0,006423433;0,011844131;0;0,019577134
riqueza;0,006691201;0,052390308;0;0,030545543;0,006053635;0;0;0,034188034;0;0;0,012694383;0,013737207;0,006938181;0;0;0,012782003;0,018175209;0;0;0;0,012523482;0;0,011741913;0,01730004;0,020441537;0,006541078;0,017280111;0,007274844;0,007064641;0,016964967;0,006894174;0;0;0,012347203;0;0,017766197;0,06151743;0
señal;0,013382402;0;0,014357502;0,012218217;0,01210727;0;0;0,008547009;0,026012876;0,017020311;0,006347191;0,013737207;0;0;0,007527286;0,012782003;0,012116806;0,006229365;0;0,018921476;0,006261741;0,027166531;0,005870956;0,01730004;0,006813846;0,019623234;0,008640055;0,021824531;0;0,008482484;0,013788349;0,00662164;0,012356357;0,012347203;0,012846865;0,011844131;0,02050581;0,006525711
verso;0,020073603;0;0;0;0;0;0,064020487;0,051282051;0,013006438;0,005673437;0,012694383;0,006868604;0;0;0,007527286;0,012782003;0;0,037376191;0,013229263;0,037842952;0,006261741;0,006791633;0;0,00576668;0;0,019623234;0,017280111;0;0,007064641;0,033929935;0;0,013243279;0,006178179;0;0,006423433;0,011844131;0;0,006525711
vuelta;0,006691201;0,013097577;0,007178751;0;0,01210727;0,005404237;0,007113387;0,017094017;0,026012876;0,017020311;0,012694383;0,013737207;0,006938181;0;0,030109146;0;0;0,006229365;0,006614632;0;0,012523482;0,006791633;0,035225738;0,02306672;0,006813846;0,026164312;0,017280111;0,007274844;0,007064641;0,008482484;0,006894174;0,019864919;0;0,006173602;0,012846865;0,005922066;0,00683527;0,006525711
vuesa;0,006691201;0,006548788;0,064608758;0;0;0;0,092474036;0;0;0,005673437;0,006347191;0;0,020814542;0,00651848;0;0,012782003;0;0;0;0,012614317;0;0,006791633;0;0,00576668;0;0,03270539;0,025920166;0;0,021193924;0;0;0;0;0,030868008;0;0,035532394;0,02050581;0
alfonso;0;0,026195154;0;0,012218217;0;0,048638132;0;0,025641026;0;0;0;0,006868604;0;0;0;0,102256024;0;0;0;0;0;0,095082858;0;0,040366761;0;0;0;0;0;0;0,006894174;0;0;0;0,006423433;0;0;0,013051423
aprender;0,013382402;0;0;0;0,018160906;0;0;0,008547009;0;0,017020311;0;0,048080225;0,006938181;0;0,007527286;0;0,006058403;0,099669844;0,006614632;0;0,025046963;0;0;0,01730004;0;0,013082156;0;0,007274844;0,014129283;0,050894902;0,013788349;0,00662164;0,006178179;0;0;0;0,01367054;0
arrogante;0,020073603;0,026195154;0,021536253;0,024436435;0,01210727;0,037829658;0,007113387;0;0,006503219;0;0,012694383;0,006868604;0;0,01303696;0,007527286;0,006391001;0;0,01245873;0,026458526;0;0;0,006791633;0,023483826;0,00576668;0,040883074;0;0;0,036374218;0,014129283;0;0,006894174;0,00662164;0;0;0,006423433;0;0;0
celestial;0,013382402;0;0,007178751;0;0,006053635;0,005404237;0;0,008547009;0,032516095;0;0,006347191;0,041211622;0;0,00651848;0,007527286;0,019173004;0,012116806;0,024917461;0,006614632;0,012614317;0;0;0,011741913;0;0,013627691;0;0,017280111;0,007274844;0,021193924;0,09330732;0;0,00662164;0,018534536;0;0,012846865;0,005922066;0;0
diligencia;0,006691201;0,013097577;0,035893754;0;0,006053635;0;0,007113387;0;0,026012876;0;0,006347191;0,013737207;0;0,01955544;0,007527286;0,006391001;0;0,006229365;0,013229263;0,018921476;0,012523482;0;0,005870956;0,02306672;0,006813846;0,013082156;0;0,021824531;0,014129283;0;0,020682523;0,00662164;0;0,006173602;0,038540596;0,005922066;0,00683527;0,026102845
encender;0,026764804;0;0;0,006109109;0,024214541;0,005404237;0,007113387;0;0,013006438;0;0,063471914;0,006868604;0,020814542;0,00651848;0;0,038346009;0;0,018688096;0,006614632;0;0,006261741;0;0,005870956;0,00576668;0,013627691;0,013082156;0,060480387;0,014549687;0;0;0,006894174;0;0,006178179;0,006173602;0,012846865;0;0;0,006525711
impedir;0,006691201;0,026195154;0,014357502;0,012218217;0,01210727;0,005404237;0;0;0,006503219;0,011346874;0,019041574;0,006868604;0,006938181;0,01303696;0;0,006391001;0,018175209;0,006229365;0,006614632;0,006307159;0,025046963;0,020374898;0,005870956;0,00576668;0;0,013082156;0;0,014549687;0,014129283;0,042412418;0;0,00662164;0,006178179;0,024694407;0,006423433;0,005922066;0,00683527;0,013051423
mesa;0,013382402;0,013097577;0,014357502;0,018327326;0,01210727;0,016212711;0;0,008547009;0,019509657;0,028367185;0;0,013737207;0;0,00651848;0,007527286;0,025564006;0;0,006229365;0;0;0,012523482;0,006791633;0,005870956;0,02306672;0,034069229;0;0,008640055;0,007274844;0,014129283;0,016964967;0,013788349;0;0,012356357;0,012347203;0,006423433;0,005922066;0;0,006525711
montaña;0;0;0,007178751;0,012218217;0;0,016212711;0;0,042735043;0,006503219;0;0,012694383;0,013737207;0,006938181;0;0,067745578;0,019173004;0,006058403;0,006229365;0,013229263;0;0,012523482;0;0,005870956;0;0;0,006541078;0;0;0,007064641;0,008482484;0,048259221;0;0,043247251;0;0,038540596;0;0,00683527;0
san;0,006691201;0;0,014357502;0;0,01210727;0,005404237;0,021340162;0,051282051;0,006503219;0,005673437;0,006347191;0,048080225;0,027752723;0;0;0,006391001;0,006058403;0,006229365;0;0,006307159;0,012523482;0,006791633;0;0,00576668;0;0,006541078;0,077760498;0;0;0;0;0,072838035;0;0,006173602;0;0;0,00683527;0
